Store Name,Link,Phone,Email,Address,Open Hours
Fayetteville Local,https://shop.lululemon.com/stores/us/fayetteville/fayetteville-local,479-444-6917,fayetteville-local@lululemon.com,"200 West Center Street, Suite 2, Fayetteville, AR, US, 72701",Mon - Fri: 10:00am - 7:00pm; Sat: 9:00am - 7:00pm; Sun: 10:00am - 5:00pm
Promenade at Chenal,https://shop.lululemon.com/stores/us/little-rock/promenadeatchenal,501-356-3972,littlerock-store@lululemon.com,"17809 Chenal Parkway, Unit G103, Little Rock, AR, US, 72223",Mon - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 6:00pm
Pinnacle Hills,https://shop.lululemon.com/stores/us/rogers/pinnacle-hills,479-269-4008,pinnaclehills@lululemon.com,"2150-2203 S Promenade Blvd, Rogers, AR, US, 72758",Mon - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 6:00pm
Santa Anita,https://shop.lululemon.com/stores/us/arcadia/santa-anita,626-602-9570,Santaanita-store@lululemon.com,"400 South Baldwin Avenue, Suite D12, Arcadia, CA, US, 91007",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 8:00pm
Bakersfield,https://shop.lululemon.com/stores/us/bakersfield/bakersfield-store,661-449-2360,bakersfield-store@lululemon.com,"Suite E2 & E3 9000 MING AVENUE, Bakersfield, CA, US, 93311",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
Berkeley,https://shop.lululemon.com/stores/us/berkeley/college-ave,510-939-9223,berkeley-store@lululemon.com,"1901 Fourth Street, Suite 102, Berkeley, CA, US, 94710",Mon - Sat: 11:00am - 7:00pm; Sun: 11:00am - 6:00pm
N. Beverly Dr,https://shop.lululemon.com/stores/us/beverly-hills/northbeverly,424-999-0829,northbeverly-store@lululemon.com,"334 North Beverly Drive, Beverly Hills, CA, US, 90210",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
Brea Mall,https://shop.lululemon.com/stores/us/brea/brea-mall,714-475-1641,breamall-store@lululemon.com,"1124B Brea Mall, Brea, CA, US, 92821",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Burlingame Ave,https://shop.lululemon.com/stores/us/burlingame/burlingame,650-718-8760,burlingame-store@lululemon.com,"1304 Burlingame Ave, Burlingame, CA, US, 94010",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
Desert Hills Premium Outlets,https://shop.lululemon.com/stores/us/cabazon/desert-hills-outlets,951-922-8182,deserthills-outlet@lululemon.com,"48400 Seminole Drive, Unit 420, Cabazon, CA, US, 92230",Mon - Sat: 10:00am - 9:00pm; Sun: 10:00am - 8:00pm
The Commons,https://shop.lululemon.com/stores/us/calabasas/thecommons,818-658-2927,Calabasas-store@lululemon.com,"4719 Commons Way, Suite R, Calabasas, CA, US, 91302",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
Camarillo Premium Outlets,https://shop.lululemon.com/stores/us/camarillo/camarillo-premium-outlets,805-383-3673,camarillo-outlet@lululemon.com,"850 E. Ventura Boulevard, Suite #714, Camarillo, CA, US, 93010",Mon - Sun: 10:00am - 8:00pm
The Forum,https://shop.lululemon.com/stores/us/carlsbad/carlsbadforum,760-462-7566,carlsbad-store@lululemon.com,"1915 Calle Barcelona, 134, Carlsbad, CA, US, 92009",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Los Cerritos Center,https://shop.lululemon.com/stores/us/cerritos/los-cerritos-center,562-784-8280,loscerritos-store@lululemon.com,"239 Los Cerritos Center, C03, Cerritos, CA, US, 90703",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Otay Ranch Pop Up,https://shop.lululemon.com/stores/us/chula-vista/otay-ranch-pop-up,619-870-8630,otayranch-popup@lululemon.com,"2015 Birch Rd, Suite 915, Chula Vista, CA, US, 91915",Mon - Sat: 11:00am - 8:00pm; Sun: 11:00am - 7:00pm
Citadel Outlets,https://shop.lululemon.com/stores/us/commerce/citadel-outlets,323-278-3560,citadel-outlet@lululemon.com,"100 Citadel Drive, Unit 711, Commerce, CA, US, 90040",Mon - Sun: 10:00am - 9:00pm
The Village,https://shop.lululemon.com/stores/us/corte-madera/village,415-993-4312,cortemadera-store@lululemon.com,"1620 Redwood Highway, Corte Madera, CA, US, 94925",Mon - Fri: 10:00am - 8:00pm; Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
South Coast Plaza,https://shop.lululemon.com/stores/us/costa-mesa/costamesa,714-582-1260,southcoast-store@lululemon.com,"3333 Bear St, Suite #303, Costa Mesa, CA, US, 92626",Mon - Sat: 10:00am - 8:00pm; Sun: 10:00am - 7:00pm
The Point,https://shop.lululemon.com/stores/us/el-segundo/thepoint,424-328-6164,thepoint-store@lululemon.com,"840 South Sepulveda Boulevard, Unit B108, El Segundo, CA, US, 90245",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 8:00pm
North County Pop Up,https://shop.lululemon.com/stores/us/escondido/north-county-pop-up,760-480-7540,northcounty-popup@lululemon.com,"272 East Via Rancho Parkway, Suite 335, Escondido, CA, US, 92025",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Fig Garden Village,https://shop.lululemon.com/stores/us/fresno/fig-garden-village-store,559-314-3263,figgarden-store@lululemon.com,"712 W Shaw, Space 43A, Fresno, CA, US, 93704",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
Gilroy Premium Outlets,https://shop.lululemon.com/stores/us/gilroy/gilroy,408-846-4281,gilroy-outlet@lululemon.com,"681 Leavesley Road, Unit C-075, Gilroy, CA, US, 95020",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Americana,https://shop.lululemon.com/stores/us/glendale/glendale,818-814-9937,americana-store@lululemon.com,"529 Americana Way, Glendale, CA, US, 91210",Mon - Thu: 10:00am - 9:00pm; Fri - Sat: 10:00am - 10:00pm; Sun: 11:00am - 8:00pm
Pacific City,https://shop.lululemon.com/stores/us/huntington-beach/pacific-city,657-845-6043,pacificcity-store@lululemon.com,"21010 Pacific Coast Hwy, D110, Huntington Beach, CA, US, 92648",Mon - Sat: 10:00am - 9:00pm; Sun: 10:00am - 6:00pm
Irvine Spectrum Ctr,https://shop.lululemon.com/stores/us/irvine/irvine,949-749-4895,irvine-store@lululemon.com,"877 Spectrum Dr, Irvine, CA, US, 92618",Mon - Thu: 10:00am - 9:00pm; Fri - Sat: 10:00am - 10:00pm; Sun: 10:00am - 9:00pm
"Long Beach, 2ND & PCH",https://shop.lululemon.com/stores/us/long-beach/long-beach-2nd-pch,562-553-6558,longbeach-store@lululemon.com,"6460 East Pacific Coast Highway - Unit 115, Long Beach, CA, US, 90803",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Century City,https://shop.lululemon.com/stores/us/los-angeles/century-city,424-371-7756,centurycity-store@lululemon.com,"10250 Santa Monica Blvd, Unit 2680, Los Angeles, CA, US, 90067",Mon - Thu: 10:00am - 9:00pm; Fri - Sat: 10:00am - 10:00pm; Sun: 11:00am - 8:00pm
Studio City,https://shop.lululemon.com/stores/us/los-angeles/studiocity,818-431-2616,studiocity-store@lululemon.com,"12199 Ventura Blvd, Los Angeles, CA, US, 91604",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
Melrose Ave,https://shop.lululemon.com/stores/us/los-angeles/melrose,424-999-0954,Melrose-store@lululemon.com,"8532 Melrose Ave, Los Angeles, CA, US, 90069",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
Westfield Topanga,https://shop.lululemon.com/stores/us/canoga-park/westfield-topanga,818-446-1023,wftopanga-store@lululemon.com,"6600 Topanga Canyon Blvd, #2070B, Los Angeles, CA, US, 91303",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
The Grove,https://shop.lululemon.com/stores/us/los-angeles/the-grove,323-417-8287,thegrove-store@lululemon.com,"Space F2 - 189 The Grove Drive, Los Angeles, CA, US, 90036",Mon - Thu: 10:00am - 9:00pm; Fri - Sat: 10:00am - 10:00pm; Sun: 11:00am - 8:00pm
Los Gatos,https://shop.lululemon.com/stores/us/los-gatos/los-gatos-store,408-790-1460,losgatos-store@lululemon.com,"32 N Santa Cruz Ave, Los Gatos, CA, US, 95030",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 5:00pm
Country Mart,https://shop.lululemon.com/stores/us/malibu/country-mart,424-999-0654,countrymart-store@lululemon.com,"3880 Cross Creek Rd, Malibu, CA, US, 90265",Mon - Sat: 10:00am - 6:00pm; Sun: 11:00am - 6:00pm
The Shops at Mission Viejo,https://shop.lululemon.com/stores/us/mission-viejo/shopsatmissionviejo,949-990-5010,missionviejo-store@lululemon.com,"The Shops At Mission Viejo, Unit 907B, Mission Viejo, CA, US, 92691",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Del Monte Center,https://shop.lululemon.com/stores/us/monterey/del-monte-center,831-249-2580,delmonte-store@lululemon.com,"440 Del Monte Center Monterey, Monterey, CA, US, 93940",Mon - Fri: 10:00am - 8:00pm; Sat: 10:00am - 7:00pm; Sun: 10:00am - 5:00pm
First Street Napa,https://shop.lululemon.com/stores/us/napa/first-street-napa,707-690-9977,napa-store@lululemon.com,"1220 First Street, Napa, CA, US, 94559",Mon - Thu: 11:00am - 6:00pm; Fri - Sat: 10:00am - 6:00pm; Sun: 11:00am - 5:00pm
Fashion Island,https://shop.lululemon.com/stores/us/newport-beach/fashionisland,949-749-4693,newport-store@lululemon.com,"203 Newport Center Dr, Newport Beach, CA, US, 92660",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
The Hive,https://shop.lululemon.com/stores/us/oakland/the-hive,510-625-1364,thehive-store@lululemon.com,"2495 Broadway, Oakland, CA, US, 94612",Mon - Fri: 12:00pm - 6:00pm; Sat - Sun: 11:00am - 5:00pm
The Collection at Riverpark Pop Up,https://shop.lululemon.com/stores/us/oxnard/the-collection-at-riverpark-pop-up,805-919-8188,riverpark-popup@lululemon.com,"621 Town Center Drive, Suite 2230, Oxnard, CA, US, 93036",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
The Pacific Palisades,https://shop.lululemon.com/stores/us/pacific-palisades/the-pacific-palisades,424-373-8997,palisades-store@lululemon.com,"15287 W Sunset Blvd, Pacific Palisades, CA, US, 90272",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
Palm Desert,https://shop.lululemon.com/stores/us/palm-desert/el-paseo-palm-desert,760-478-6560,palmdesert-store@lululemon.com,"73-425 El Paseo, Palm Desert CA 92260, 104, Palm Desert, CA, US, 92260",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
Stanford Shopping Center,https://shop.lululemon.com/stores/us/palo-alto/stanford-shopping-center,650-718-8399,stanford-store@lululemon.com,"660 Stanford Shopping Center, 186A, Palo Alto, CA, US, 94304",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
Colorado Blvd,https://shop.lululemon.com/stores/us/pasadena/pasadena,626-603-8385,pasadena-store@lululemon.com,"103 W. Colorado Blvd, Pasadena, CA, US, 91105",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 7:00pm
Stoneridge Shopping Center,https://shop.lululemon.com/stores/us/pleasanton/stoneridgemall,925-744-6176,stoneridgemall-store@lululemon.com,"2401 Stoneridge Mall Road, Unit E224, Pleasanton, CA, US, 94588",Mon - Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Victoria Gardens,https://shop.lululemon.com/stores/us/rancho-cucamonga/victoria-gardens,909-487-2968,victoriagardens@lululemon.com,"12434 South Main Street, Space #1350, Rancho Cucamonga, CA, US, 91739",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Galleria at Roseville,https://shop.lululemon.com/stores/us/roseville/roseville,916-796-4450,roseville-store@lululemon.com,"1151 Galleria Blvd, Space 125, Roseville, CA, US, 95678",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Arden Fair,https://shop.lululemon.com/stores/us/sacramento/ardenfair,916-398-2744,ardenfair-store@lululemon.com,"1689 Arden Way, Suite 1274, Sacramento, CA, US, 95815",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 7:00pm
Outlets at San Clemente,https://shop.lululemon.com/stores/us/san-clemente/outlets-at-san-clemente,949-361-8810,sanclemente-outlet@lululemon.com,"101 West Avenida Vista Hermosa, Unit 505, San Clemente, CA, US, 92672",Mon - Sun: 10:00am - 8:00pm
Westfield UTC,https://shop.lululemon.com/stores/us/san-diego/westfieldutc,858-358-7617,westfieldutc-store@lululemon.com,"4465 La Jolla Village Drive, H2 / Ste E-25, San Diego, CA, US, 92122",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Girard St,https://shop.lululemon.com/stores/us/san-diego/lajolla,858-923-4132,lajolla-store@lululemon.com,"7835 Girard Street, San Diego, CA, US, 92037",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
Fashion Valley,https://shop.lululemon.com/stores/us/san-diego/fashionvalley,619-404-6100,fashionvalley-store@lululemon.com,"7007 Friars Road, Unit 890A, San Diego, CA, US, 92108",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
One Paseo,https://shop.lululemon.com/stores/us/san-diego/one-paseo,858-358-7663,onepaseo-store@lululemon.com,"3715 Caminito Court, Unit 0620, San Diego, CA, US, 92130",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 7:00pm
Cow Hollow,https://shop.lululemon.com/stores/us/san-francisco/cowhollow,415-915-2913,cowhollow-store@lululemon.com,"1981 Union Street, San Francisco, CA, US, 94123",Mon - Sun: 10:00am - 7:00pm
San Francisco Centre,https://shop.lululemon.com/stores/us/san-francisco/sanfranciscocentre,628-244-8897,sanfranciscocentre@lululemon.com,"845 Market Street, Unit 225, San Francisco, CA, US, 94103",Mon - Fri: 11:00am - 8:00pm; Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Fillmore Street - San Francisco,https://shop.lululemon.com/stores/us/san-francisco/fillmore-street---san-francisco,415-409-6915,Fillmorestreet-store@lululemon.com,"2040 Fillmore Street, San Francisco, CA, US, 94115",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
Santana Row,https://shop.lululemon.com/stores/us/san-jose/santanarow,408-843-5172,santanarow-store@lululemon.com,"334 Santana Row, Unit 1035, San Jose, CA, US, 95128",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Westfield Valley Fair,https://shop.lululemon.com/stores/us/san-jose/westfield-valley-fair,408-692-2317,valleyfair-store@lululemon.com,"2855 Stevens Creek Boulevard, Suite 1135, San Jose, CA, US, 95050",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 8:00pm
Monterey street,https://shop.lululemon.com/stores/us/san-luis-obispo/monterey-street,805-617-1684,slo-store@lululemon.com,"840 Monterey Street, Suite B101, San Luis Obispo, CA, US, 93401",Mon - Fri: 10:00am - 9:00pm; Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
Hillsdale Mall,https://shop.lululemon.com/stores/us/san-mateo/lululemon-hillsdale-mall,650-750-0554,hillsdale-store@lululemon.com,"17 Hillsdale Mall, San Mateo, CA, US, 94403",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Santa Barbara,https://shop.lululemon.com/stores/us/santa-barbara/santabarbara,805-301-1380,santabarbara-store@lululemon.com,"740 State Street, Santa Barbara, CA, US, 93101",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 7:00pm
Third Street Promenade,https://shop.lululemon.com/stores/us/santa-monica/santamonicablvd,310-987-4425,santamonica-store@lululemon.com,"1457 Third Street Promenade, Santa Monica, CA, US, 90401",Mon - Sun: 10:00am - 8:00pm
Montgomery Village,https://shop.lululemon.com/stores/us/santa-rosa/montgomery-village,707-350-8778,montgomery-store@lululemon.com,"2307 Magowan Drive Santa Rosa, CA 95405, Santa Rosa, CA, US, 95405",Mon - Sat: 10:00am - 6:00pm; Sun: 10:00am - 5:00pm
Promenade at Temecula,https://shop.lululemon.com/stores/us/temecula/promendateattemecula,951-433-7239,temecula-store@lululemon.com,"40820 Winchester Road, Suite 250, Temecula, CA, US, 92591",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Promenade at Westlake,https://shop.lululemon.com/stores/us/thousand-oaks/promenadeatwestlake,805-222-7165,westlake-store@lululemon.com,"100 Promenade Way , Suite F, Thousand Oaks, CA, US, 91362-3832",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
Del Amo Fashion Center,https://shop.lululemon.com/stores/us/torrance/del-amo-fashion-center,424-317-8857,delamo-store@lululemon.com,"21420 Hawthorne Blvd, Unit 416, Torrance, CA, US, 90503",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Valencia Town Square,https://shop.lululemon.com/stores/us/valencia/valencia,661-535-1719,valencia-store@lululemon.com,"24201 Valencia Boulevard, Valencia, CA, US, 91355",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Abbot Kinney,https://shop.lululemon.com/stores/us/venice/abbot-kinney,310-314-4325,abbotkinney-store@lululemon.com,"1130 Abbot Kinney Blvd, Venice, CA, US, 90291",Mon - Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 10:00am - 7:00pm
Broadway Plaza,https://shop.lululemon.com/stores/us/walnut-creek/broadwayplaza,925-940-8419,walnutcreek-store@lululemon.com,"1210 Broadway Plaza Street, Walnut Creek, CA, US, 94596",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Aspen,https://shop.lululemon.com/stores/us/aspen/aspen,970-406-7746,aspen-store@lululemon.com,"Space D 204 S. Galena Street, Aspen, CO, US, 81611",Mon - Fri: 10:00am - 6:00pm; Sat: 9:00am - 6:00pm; Sun: 10:00am - 5:00pm
Southlands Pop Up,https://shop.lululemon.com/stores/us/aurora/southlands-pop-up,720-792-9561,southlands-popup@lululemon.com,"6240 S Main Street, Space L-110, Aurora, CO, US, 80016",Mon - Tue: 10:00am - 7:00pm; Wed: 10:00am - 8:00pm; Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
29th St,https://shop.lululemon.com/stores/us/boulder/boulder,720-821-7538,29thstreet-store@lululemon.com,"1710 29th Street, Unit #1088, Boulder, CO, US, 80301",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Main Street Station - Breckenridge,https://shop.lululemon.com/stores/us/breckenridge/main-street-station-breckenridge,970-406-7731,breckenridge-store@lululemon.com,"505 South Main Street, Suite A2, Breckenridge, CO, US, 80424",Mon - Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 10:00am - 6:00pm
Flatiron Crossing Pop Up,https://shop.lululemon.com/stores/us/broomfield/flatiron-crossing-pop-up,720-504-1283,flatiron-popup@lululemon.com,"One W. Flatiron Circle, Space #1180, Broomfield, CO, US, 80021",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Outlets at Castle Rock,https://shop.lululemon.com/stores/us/castle-rock/outlets-at-castle-rock,303-688-7976,castlerock-outlet@lululemon.com,"5050 Factory Shops Boulevard, Unit 310, Castle Rock, CO, US, 80108",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Shops at Briargate,https://shop.lululemon.com/stores/us/colorado-springs/shops-at-briargate-store,719-625-3009,coloradospringsstore@lululemon.com,"1845 Briargate Parkway, Suite 439, Colorado Springs, CO, US, 80920",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Creekwalk Pop Up,https://shop.lululemon.com/stores/us/colorado-springs/creekwalk-pop-up,719-203-5770,creekwalk-popup@lululemon.com,"120 East Cheyenne Road, Suite 140, Colorado Springs, CO, US, 80906",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
Highlands Square,https://shop.lululemon.com/stores/us/denver/highlands-square,303-974-4727,highlands-store@lululemon.com,"3420 W. 32nd Avenue, Unit 102, Denver, CO, US, 80211",Mon - Sat: 10:00am - 7:00pm; Sun: 9:00am - 6:00pm
Shops at Northfield Pop Up,https://shop.lululemon.com/stores/us/denver/shops-at-northfield-pop-up,720-783-4373,northfield-popup@lululemon.com,"8246 Northfield Blvd, Suite 1410, Denver, CO, US, 80238",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Cherry Creek,https://shop.lululemon.com/stores/us/denver/cherrycreek,720-571-4054,cherrycreek-store@lululemon.com,"3000 East First Ave, Unit 1103, Denver, CO, US, 80206",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Shops at Foothills Mall,https://shop.lululemon.com/stores/us/fort-collins/shops-at-foothills-mall,970-406-7664,foothills-store@lululemon.com,"3260 South College Avenue, Suite 110, Fort Collins, CO, US, 80525",Mon - Sat: 10:00am - 8:00pm; Sun: 10:00am - 7:00pm
"Belmar, CO Pop Up",https://shop.lululemon.com/stores/us/lakewood/belmar-co-pop-up,303-936-0027,belmar-popup@lululemon.com,"399 S Teller Street, Space 2M3R44, Lakewood, CO, US, 80226",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Aspen Grove,https://shop.lululemon.com/stores/us/littleton/aspen-grove,970-423-7692,aspengrove-store@lululemon.com,"7301 S Santa Fe Drive, Unit 445, Littleton, CO, US, 80120",Mon - Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Park Meadows,https://shop.lululemon.com/stores/us/lone-tree/parkmeadows,720-640-8453,parkmeadows-store@lululemon.com,"8401 Park Meadows Center Drive, Suite 2150, Lone Tree, CO, US, 80124",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
